Index,DriveState,FollowingDistance (Gross),FollowingDistance (Net),InteractionState,DelayTime,Lane,Speed,Number of Lanes,Status of driver,Nature of environment,Velocity of vehicle,Distance between vehicles,Breaking capability,Collussion
1,Default,250,250,Free,0.05,10024-1,56.32,1,1,2,56.32,0,0,1
2,Default,10.69,10.69,Brake on curve,3.07,45677,12.85,2,1,2,12.85,0,1,0
3,Default,6.08,1.58,Close up,6.54,45661,0,2,1,1,0,1,0,0
4,Default,9,4.25,Brake AX,38.98,45661,5.18,2,1,1,5.18,0.5,0,0
5,Default,85.33,73.2,Free,8.07,45687,28.39,2,1,1,28.39,0,0,0
6,Brakes moderately,2.54,2.54,Brake on curve,11.74,10014-1,14.73,1,2,2,14.73,1,1,0
7,Brakes hard,6.88,2.13,Close up,38.78,45673,2.92,2,2,2,2.92,1,0,0
8,Default,92.89,92.89,Free,0,45669,50.49,2,1,1,50.49,0,0,1
9,Default,60.42,48.28,Free,14.36,45687,44.17,2,1,2,44.17,0,0,1
10,Default,17.13,4.99,Brake AX,3.93,45661,7.36,2,1,1,7.36,0,0,0
11,Default,250,250,Free,0,45664,52.15,2,1,2,52.15,0,0,1
12,Brakes moderately,34.09,21.96,Brake BX,0.81,45658,35.36,2,2,2,35.36,0,1,1
13,Default,52.18,47.86,Free,0,45664,48.2,2,1,2,48.2,0,0,1
14,Default,26.2,14.06,Brake AX,0,78-1,52.13,2,1,2,52.13,0,0,1
15,Default,8.6,4.19,Close up,51.26,45661,4.43,2,1,2,4.43,0.5,0,0
16,Brakes hard,15.3,3.17,Close up,2.05,45661,5.63,2,2,2,5.63,0.5,0,0
17,Brakes hard,2.25,-2.07,Free,42.5,45659,2.48,2,2,1,2.48,1,0,0
18,Default,20.3,15.98,Brake BX,1.53,45661,27.18,2,1,2,27.18,0,1,1
19,Default,38.21,26.08,Brake BX,0,10023-1,49.51,1,1,2,49.51,0,1,1
20,Default,18.22,6.08,Free,42.97,45661,3.87,2,1,1,3.87,0,0,0
21,Default,250,250,Free,0,77-1,53.04,2,1,1,53.04,0,0,1
22,Default,41.52,29.38,Brake BX,2.99,45658,27.74,2,1,1,27.74,0,1,1
23,Default,85.57,73.44,Free,0,78-1,56.32,2,1,1,56.32,0,0,1
24,Default,25.7,21.2,Brake BX,6.48,10002-1,20.87,1,1,1,20.87,0,1,0
25,Default,9.97,5.65,Brake AX,2.91,45661,8.78,2,1,1,8.78,0.5,0,0
26,Default,44.46,32.32,Brake BX,0.43,76-1,48.25,2,1,1,48.25,0,1,1
27,Default,250,250,Free,3.39,45687,47.37,2,1,2,47.37,0,0,1
28,Default,24.5,12.37,Brake AX,0.05,76-1,50.41,2,1,2,50.41,0,0,1
29,Default,4.9,4.34,Brake AX,25.28,10003-1,5.28,1,1,1,5.28,1,0,0
30,Default,18.81,13.82,Close up,16.56,45661,2.21,2,1,1,2.21,0,0,0
