S/N,DriveState,Following  Distance (Gross),FollowingDistance (Net),InteractionState,Delay Time,Lane,Speed,Number of Lanes,Status of driver,Nature of environment,Velocity of vehicle,Distance between vehicles,Breaking capability,Collussion
1,Default,250,250,Free,15.25,45682,27.47,2,1,2,27.47,0,0,0
2,Default,23.69,23.69,Brake on curve,1.52,45729,22.8,2,1,2,22.8,0,1,0
3,Brakes moderately,3.7,3.7,Brake on curve,1.3,10014-1,24.7,1,2,2,24.7,1,1,0
4,Default,61.21,56.46,Free,0,45715,54.76,2,1,1,54.76,0,0,1
5,Default,0.07,0.07,Brake on curve,9.98,10001-1,9.01,1,1,2,9.01,1,1,0
6,Default,164.56,159.78,Free,0,45714,51.67,2,1,1,51.67,0,0,1
7,Default,50.27,38.14,Brake BX,0.27,45684,53.67,2,1,2,53.67,0,1,1
8,Default,126.48,122.28,Brake BX,0.73,45660,42.48,2,1,2,42.48,0,1,1
9,Brakes hard,13.11,8.11,Brake BX,2.2,10007-1,35.61,1,2,1,35.61,0,1,1
10,Default,20.29,20.29,Free,0,45715,47.84,2,1,2,47.84,0,0,1
11,Default,65.16,60.41,Free,0,10005-1,50.49,1,1,2,50.49,0,0,1
12,Changing lane,21.68,21.68,Brake on curve,0,45679,44.98,2,2,2,44.98,0,1,1
13,Default,24.59,20.26,Free,4.01,45682,22.67,2,1,1,22.67,0,0,0
14,Has changed lane,25.62,25.62,Brake on curve,0.65,45702,43.8,2,2,1,43.8,0,1,1
15,Default,10.39,5.97,Brake AX,2.77,34-1,10,2,1,2,10,0.5,0,0
16,Default,20.94,16.53,Brake BX,2.13,10004-1,24.71,1,1,2,24.71,0,1,0
17,Default,250,250,Free,8.12,45681,46.46,2,1,2,46.46,0,0,1
18,Brakes hard,11.04,6.29,Close up,1,45679,15.66,2,2,1,15.66,0.5,0,0
19,Default,104.17,99.97,Free,0,45714,50.12,2,1,2,50.12,0,0,1
20,Default,45.75,45.75,Free,0,45684,49.14,2,1,1,49.14,0,0,1
21,Default,2.65,2.65,Brake on curve,0.4,10007-1,57.07,1,1,2,57.07,1,1,1
22,Changing lane,8.39,8.39,Free,2.64,45679,4.02,2,2,2,4.02,0.5,0,0
23,Default,250,250,Free,0.04,29-2,46.95,2,1,1,46.95,0,0,1
24,Default,44.23,32.09,Free,1.72,10024-1,43.54,1,1,1,43.54,0,0,1
25,Default,34.35,29.6,Brake BX,0,45684,55.69,2,1,1,55.69,0,1,1
26,Default,250,250,Free,6.83,45676,21.13,2,1,2,21.13,0,0,0
27,Default,10.99,6.57,Brake AX,4.8,34-1,7.79,2,1,2,7.79,0.5,0,0
28,Default,35.82,35.82,Free,2.04,45695,41.66,2,1,2,41.66,0,0,1
29,Default,12.42,7.43,Brake AX,2.73,34-1,11.2,2,1,1,11.2,0.5,0,0
30,Default,13.05,8.64,Brake AX,2.37,34-1,9.36,2,1,1,9.36,0,0,0
